multiplier,trading_code,delist_date,price_tick_desc,exchange,list_date,product_code,price_tick,instrument,name,last_ddate
10.0,eg2208,2022-08-26,,DCE,2021-08-27,EG,1.0,EG2208.DCE,乙二醇2208,2022-08-31
10.0,eg2209,2022-09-27,,DCE,2021-09-28,EG,1.0,EG2209.DCE,乙二醇2209,2022-09-30
10.0,eg2301,2023-01-25,,DCE,2022-01-26,EG,1.0,EG2301.DCE,乙二醇2301,2023-01-30
10.0,eg2210,2022-10-26,,DCE,2021-10-27,EG,1.0,EG2210.DCE,乙二醇2210,2022-10-31
10.0,eg2212,2022-12-27,,DCE,2021-12-29,EG,1.0,EG2212.DCE,乙二醇2212,2022-12-30
10.0,eg2211,2022-11-25,,DCE,2021-11-26,EG,1.0,EG2211.DCE,乙二醇2211,2022-11-30
10.0,eg8888,2099-01-01,,DCE,2018-12-10,EG,1.0,EG8888.DCE,乙二醇主力,2099-01-01
10.0,eg0000,2099-01-01,,DCE,2018-12-10,EG,1.0,EG0000.DCE,乙二醇指数,2099-01-01
10.0,eg9999,2099-01-01,,DCE,2018-12-10,EG,1.0,EG9999.DCE,乙二醇前复权主力,2099-01-01
5.0,CJ112,2021-12-14,,CZCE,2020-12-15,CJ,5.0,CJ2112.CZC,红枣112,2021-12-14
5.0,CJ201,2022-01-17,,CZCE,2021-01-18,CJ,5.0,CJ2201.CZC,红枣201,2022-01-17
5.0,CJ203,2022-03-14,,CZCE,2021-03-15,CJ,5.0,CJ2203.CZC,红枣203,2022-03-14
5.0,CJ205,2022-05-18,,CZCE,2021-05-20,CJ,5.0,CJ2205.CZC,红枣205,2022-05-18
5.0,CJ207,2022-07-14,,CZCE,2021-07-15,CJ,5.0,CJ2207.CZC,红枣207,2022-07-14
5.0,CJ209,2022-09-15,,CZCE,2021-09-15,CJ,5.0,CJ2209.CZC,红枣209,2022-09-15
5.0,CJ301,2023-01-13,,CZCE,2022-01-18,CJ,5.0,CJ2301.CZC,红枣301,2023-01-13
5.0,CJ212,2022-12-14,,CZCE,2021-12-15,CJ,5.0,CJ2212.CZC,红枣212,2022-12-14
5.0,CJ8888,2099-01-01,,CZCE,2019-04-30,CJ,5.0,CJ8888.CZC,红枣主力,2099-01-01
5.0,CJ0000,2099-01-01,,CZCE,2019-04-30,CJ,5.0,CJ0000.CZC,红枣指数,2099-01-01
5.0,CJ9999,2099-01-01,,CZCE,2019-04-30,CJ,5.0,CJ9999.CZC,红枣前复权主力,2099-01-01
10.0,lu2111,2021-10-29,,INE,2020-11-02,LU,1.0,LU2111.INE,低硫燃料油2111,2021-11-05
10.0,lu2112,2021-11-30,,INE,2020-12-01,LU,1.0,LU2112.INE,低硫燃料油2112,2021-12-07
10.0,lu2201,2021-12-23,,INE,2020-12-25,LU,1.0,LU2201.INE,低硫燃料油2201,2021-12-30
10.0,lu2202,2022-01-21,,INE,2021-02-01,LU,1.0,LU2202.INE,低硫燃料油2202,2022-01-28
10.0,lu2203,2022-02-28,,INE,2021-03-01,LU,1.0,LU2203.INE,低硫燃料油2203,2022-03-07
10.0,lu2205,2022-04-29,,INE,2021-05-06,LU,1.0,LU2205.INE,低硫燃料油2205,2022-05-11
10.0,lu2206,2022-05-31,,INE,2021-06-01,LU,1.0,LU2206.INE,低硫燃料油2206,2022-06-08
10.0,lu2204,2022-03-31,,INE,2021-04-01,LU,1.0,LU2204.INE,低硫燃料油2204,2022-04-11
10.0,lu2209,2022-08-31,,INE,2021-09-01,LU,1.0,LU2209.INE,低硫燃料油2209,2022-09-07
