time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1531699200,6729.2,6750.0,6327.1,6347.2,28999.95,190390516.0,force_direct,
1531785600,7319.8,7483.9,6666.0,6729.2,44658.67,316592618.06,force_direct,
1531872000,7379.4,7588.0,7246.5,7319.8,39403.93,292175116.14,force_direct,
1531958400,7473.5,7560.0,7281.4,7379.4,22150.35,164367053.07,force_direct,
1532044800,7333.1,7685.2,7273.1,7473.5,31570.9,234637716.92,force_direct,
1532131200,7403.4,7459.0,7221.0,7333.1,11146.76,81778072.33,force_direct,
1532217600,7397.6,7575.0,7329.1,7403.4,16865.94,125560662.91,force_direct,
1532304000,7718.9,7812.9,7374.0,7397.6,42949.6,329934961.16,force_direct,
1532390400,8390.0,8502.6,7690.0,7718.9,60621.94,490709109.45,force_direct,
1532476800,8178.4,8488.1,8073.0,8390.0,35887.33,296050005.39,force_direct,
1532563200,7939.0,8323.1,7869.6,8178.4,31552.57,256249041.67,force_direct,
1532649600,8188.0,8291.0,7815.09,7939.0,33172.13,266476948.87,force_direct,
1532736000,8235.6,8262.0,8067.2,8188.0,12772.37,104433957.5,force_direct,
1532822400,8221.0,8313.3,8123.0,8235.6,10165.69,83553959.28,force_direct,
1532908800,8179.5,8301.73,7861.2,8221.0,36791.33,297960104.36,force_direct,
1532995200,7731.3,8179.5,7664.9,8179.5,43025.53,337779783.1,force_direct,
1533081600,7606.0,7756.1,7440.2,7731.3,29638.57,224258256.76,force_direct,
1533168000,7535.2,7713.0,7450.0,7606.0,17687.49,134161524.98,force_direct,
1533254400,7420.0,7535.2,7282.1,7535.2,30616.26,226404376.35,force_direct,
1533340800,7013.22,7492.2,6928.8,7420.0,29635.0,211690412.57,force_direct,
1533427200,7025.8,7090.0,6890.0,7013.22,17624.06,123180526.64,force_direct,
1533513600,6941.2,7153.6,6847.0,7025.8,17730.06,123957813.77,force_direct,
1533600000,6718.8,7150.0,6677.0,6941.2,31792.27,220473695.39,force_direct,
1533686400,6280.7,6720.1,6128.2,6718.8,50548.29,324217413.37,force_direct,
1533772800,6533.6,6628.0,6183.0,6280.7,33134.6,212106308.2,force_direct,
1533859200,6146.7,6573.8,6010.0,6533.6,42945.65,270821409.67,force_direct,
1533945600,6233.1,6499.5,6008.1,6146.7,35938.25,222971461.85,force_direct,
1534032000,6313.9,6499.0,6162.0,6233.1,22591.52,142340923.31,force_direct,
1534118400,6251.9,6548.3,6137.6,6313.9,30745.54,194986099.68,force_direct,
1534204800,6189.0,6251.9,5858.6,6251.9,51537.64,310918885.17,force_direct,
1534291200,6270.2,6647.6,6180.01,6189.0,63474.29,405891229.26,force_direct,
1534377600,6315.6,6476.7,6212.9,6270.2,25048.8,159138721.67,force_direct,
1534464000,6584.05,6592.9,6290.0,6315.6,26046.55,168772164.67,force_direct,
1534550400,6391.2,6619.5,6300.0,6584.05,19346.55,124216024.16,force_direct,
1534636800,6485.1,6550.3,6309.3,6391.2,13398.63,85956107.1,force_direct,
1534723200,6255.9,6524.0,6230.0,6485.1,30445.33,194461177.72,force_direct,
1534809600,6479.1,6526.2,6245.0,6255.9,28549.92,182500052.85,force_direct,
1534896000,6362.1,6899.0,6250.3,6479.1,48335.37,316940382.88,force_direct,
