period,instrument
30m,C2205.DCE
30m,C2207.DCE
30m,C2209.DCE
30m,C2301.DCE
30m,C2211.DCE
30m,C0000.DCE
30m,BU2206.SHF
30m,BU2209.SHF
30m,BU2212.SHF
30m,BU2303.SHF
30m,BU2306.SHF
30m,BU2309.SHF
30m,BU2204.SHF
30m,BU2312.SHF
30m,BU2207.SHF
30m,BU2205.SHF
30m,BU0000.SHF
30m,SR2205.CZC
30m,SR2207.CZC
30m,SR2209.CZC
30m,SR2301.CZC
30m,SR2211.CZC
30m,SR0000.CZC
30m,I2205.DCE
30m,I2204.DCE
30m,I2206.DCE
30m,I2207.DCE
30m,I2208.DCE
30m,I2209.DCE
30m,I2301.DCE
30m,I2210.DCE
30m,I2211.DCE
30m,I2212.DCE
30m,I0000.DCE
30m,MA2204.CZC
30m,MA2206.CZC
30m,MA2205.CZC
30m,MA2207.CZC
30m,MA2208.CZC
30m,MA2209.CZC
30m,MA2301.CZC
30m,MA2210.CZC
30m,MA2211.CZC
30m,MA2212.CZC
30m,MA0000.CZC
30m,M2205.DCE
30m,M2207.DCE
30m,M2208.DCE
30m,M2209.DCE
30m,M2301.DCE
30m,M2211.DCE
30m,M2212.DCE
30m,M0000.DCE
30m,FU2205.SHF
30m,FU2206.SHF
30m,FU2209.SHF
30m,FU2207.SHF
30m,FU2208.SHF
30m,FU2210.SHF
30m,FU2302.SHF
30m,FU2211.SHF
30m,FU2212.SHF
30m,FU2301.SHF
30m,FU0000.SHF
30m,JD2204.DCE
30m,JD2205.DCE
30m,JD2207.DCE
30m,JD2206.DCE
30m,JD2208.DCE
30m,JD2209.DCE
30m,JD2301.DCE
30m,JD2210.DCE
30m,JD2212.DCE
30m,JD2211.DCE
30m,JD0000.DCE
30m,SF2204.CZC
30m,SF2206.CZC
30m,SF2205.CZC
30m,SF2207.CZC
30m,SF2208.CZC
30m,SF2209.CZC
30m,SF2301.CZC
30m,SF2210.CZC
30m,SF2211.CZC
30m,SF2212.CZC
30m,SF0000.CZC
30m,PB2205.SHF
30m,PB2204.SHF
30m,PB2206.SHF
30m,PB2207.SHF
30m,PB2208.SHF
30m,PB2209.SHF
30m,PB2210.SHF
30m,PB2212.SHF
30m,PB2301.SHF
30m,PB2211.SHF
30m,PB0000.SHF
30m,PF2205.CZC
30m,PF2204.CZC
30m,PF2206.CZC
30m,PF2207.CZC
30m,PF2209.CZC
30m,PF2208.CZC
30m,PF2210.CZC
30m,PF2301.CZC
30m,PF2211.CZC
30m,PF2212.CZC
30m,PF0000.CZC
30m,PK2204.CZC
30m,PK2210.CZC
30m,PK2301.CZC
30m,PK2211.CZC
30m,PK2212.CZC
30m,PK0000.CZC
30m,AG2204.SHF
30m,AG2206.SHF
30m,AG2207.SHF
30m,AG2205.SHF
30m,AG2208.SHF
30m,AG2209.SHF
30m,AG2210.SHF
30m,AG2212.SHF
30m,AG2301.SHF
30m,AG2211.SHF
30m,AG0000.SHF
30m,JM2204.DCE
30m,JM2206.DCE
30m,JM2205.DCE
30m,JM2207.DCE
30m,JM2208.DCE
30m,JM2209.DCE
30m,JM2301.DCE
30m,JM2210.DCE
30m,JM2211.DCE
30m,JM2212.DCE
30m,JM0000.DCE
30m,EB2204.DCE
30m,EB2205.DCE
30m,EB2207.DCE
30m,EB2206.DCE
30m,EB2209.DCE
30m,EB2208.DCE
30m,EB2301.DCE
30m,EB2210.DCE
30m,EB2212.DCE
30m,EB2211.DCE
30m,EB0000.DCE
30m,FG2204.CZC
30m,FG2206.CZC
30m,FG2205.CZC
30m,FG2207.CZC
30m,FG2208.CZC
30m,FG2209.CZC
30m,FG2301.CZC
30m,FG2210.CZC
30m,FG2211.CZC
30m,FG2212.CZC
30m,FG0000.CZC
30m,SC2209.INE
30m,SC2212.INE
30m,SC2206.INE
30m,SC2303.INE
30m,SC2306.INE
30m,SC2309.INE
30m,SC2312.INE
30m,SC2403.INE
30m,SC2205.INE
30m,SC2406.INE
30m,SC2409.INE
30m,SC2207.INE
30m,SC2208.INE
30m,SC2210.INE
30m,SC2302.INE
30m,SC2211.INE
30m,SC2412.INE
30m,SC2301.INE
30m,SC0000.INE
30m,P2204.DCE
30m,P2206.DCE
30m,P2205.DCE
30m,P2207.DCE
30m,P2208.DCE
30m,P2209.DCE
30m,P2301.DCE
30m,P2210.DCE
30m,P2211.DCE
30m,P2212.DCE
30m,P0000.DCE
30m,RB2205.SHF
30m,RB2204.SHF
30m,RB2206.SHF
30m,RB2207.SHF
30m,RB2208.SHF
30m,RB2209.SHF
30m,RB2210.SHF
30m,RB2212.SHF
30m,RB2301.SHF
30m,RB2211.SHF
30m,RB0000.SHF
30m,J2204.DCE
30m,J2206.DCE
30m,J2205.DCE
30m,J2207.DCE
30m,J2208.DCE
30m,J2209.DCE
30m,J2301.DCE
30m,J2210.DCE
30m,J2211.DCE
30m,J2212.DCE
30m,J0000.DCE
30m,SM2204.CZC
30m,SM2206.CZC
30m,SM2205.CZC
30m,SM2207.CZC
30m,SM2208.CZC
30m,SM2209.CZC
30m,SM2301.CZC
30m,SM2210.CZC
30m,SM2211.CZC
30m,SM2212.CZC
30m,SM0000.CZC
30m,SA2204.CZC
30m,SA2206.CZC
30m,SA2205.CZC
30m,SA2207.CZC
30m,SA2208.CZC
30m,SA2209.CZC
30m,SA2301.CZC
30m,SA2210.CZC
30m,SA2211.CZC
30m,SA2212.CZC
30m,SA0000.CZC
30m,HC2205.SHF
30m,HC2204.SHF
30m,HC2206.SHF
30m,HC2207.SHF
30m,HC2208.SHF
30m,HC2209.SHF
30m,HC2210.SHF
30m,HC2212.SHF
30m,HC2301.SHF
30m,HC2211.SHF
30m,HC0000.SHF
30m,V2204.DCE
30m,V2206.DCE
30m,V2205.DCE
30m,V2207.DCE
30m,V2208.DCE
30m,V2209.DCE
30m,V2301.DCE
30m,V2210.DCE
30m,V2211.DCE
30m,V2212.DCE
30m,V0000.DCE
30m,ME0000.CZC
30m,CS2205.DCE
30m,CS2207.DCE
30m,CS2209.DCE
30m,CS2301.DCE
30m,CS2211.DCE
30m,CS0000.DCE
